set_img,correct,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,imp_query,imp_query_w,imp_query_h,imp_query_disp_w,imp_query_disp_h,imp1,imp1_w,imp1_h,imp1_disp_w,imp1_disp_h,imp2,imp2_w,imp2_h,imp2_disp_w,imp2_disp_h,imp3,imp3_w,imp3_h,imp3_disp_w,imp3_disp_h,imp4,imp4_w,imp4_h,imp4_disp_w,imp4_disp_h,imp5,imp5_w,imp5_h,imp5_disp_w,imp5_disp_h,imp_targ,imp_targ_w,imp_targ_h,imp_targ_disp_w,imp_targ_disp_h,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,impTrial.thisRepN,impTrial.thisTrialN,impTrial.thisN,impTrial.thisIndex,thisRow.t,notes,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
resources/images/m4.jpg,6,0,0,0,3,0,1.094489249997423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,8.115624040990951,,3,0,1.094489249997423,None,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
resources/images/m1.jpg,3,1,1,0,2,0,0.5630338339979062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,11.256663583000773,,2,0,0.5630338339979062,None,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
resources/images/m3.jpg,3,2,2,0,4,0,0.5054302919888869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,13.856615415992565,,4,0,0.5054302919888869,None,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
resources/images/m2.jpg,1,3,3,0,2,0,0.6728280000097584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,16.405863915992086,,2,0,0.6728280000097584,None,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
resources/images/m5.jpg,4,4,4,0,2,0,0.8712302920030197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,19.113010999994003,,2,0,0.8712302920030197,None,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
,,0,0,0,,,,,resources/images/medium/med_Q5.jpg,1024,768,0.4,0.3,resources/images/medium/med_S5_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S5_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S5_3.jpg,2592,4608,0.196875,0.35,resources/images/medium/med_S5_4.jpg,350,208,0.35,0.208,resources/images/medium/med_S5_5.jpg,350,233,0.35,0.233,resources/images/medium/med_T5.jpg,768,1024,0.2625,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,22.011849749993416,,,,,,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
,,1,1,0,,,,,resources/images/medium/med_Q2.jpg,1024,768,0.4,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S2_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S2_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S2_4.jpg,350,234,0.35,0.234,resources/images/medium/med_S2_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T2.jpg,4032,2268,0.35,0.196875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,22.011849749993416,,,,,,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
,,2,2,0,,,,,resources/images/medium/med_Q4.jpg,768,1024,0.3,0.4,resources/images/medium/med_S4_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S4_3.jpg,350,197,0.35,0.197,resources/images/medium/med_S4_4.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_5.jpg,768,1024,0.2625,0.35,resources/images/medium/med_T4.jpg,768,1024,0.2625,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,22.011849749993416,,,,,,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
,,3,3,0,,,,,resources/images/medium/med_Q1.jpg,4032,3024,0.4,0.3,resources/images/medium/med_S1_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S1_2.jpg,4032,3024,0.35,0.2625,resources/images/medium/med_S1_3.jpg,4160,2340,0.35,0.196875,resources/images/medium/med_S1_4.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S1_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T1.jpg,1024,768,0.35,0.2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,22.011849749993416,,,,,,,001,2025-06-27_15h02.50.545,pilot_study,,2025.1.1,2025-06-27 15h02.53.227007 -0400,
